20170708 02:25:00,287763,288440,287598,288400
20170708 02:30:00,288499,288702,288194,288538
20170708 02:35:00,288538,288737,288165,288630
20170708 02:40:00,288567,289028,288567,289100
20170708 02:45:00,289100,289620,288781,289004
20170708 02:50:00,289004,289231,288880,289108
20170708 02:55:00,289108,289339,289077,289472
20170708 03:00:00,289610,289980,289503,289960
20170708 03:05:00,289999,290180,289250,289251
20170708 03:10:00,289251,289554,289110,289554
20170708 03:15:00,289551,289586,289551,289718
20170708 03:20:00,289718,290250,289718,290250
20170708 03:25:00,290270,290279,289554,289619
20170708 03:30:00,289557,289674,289000,288806
20170708 03:35:00,288940,289134,288480,288723
20170708 03:40:00,288284,288444,287960,287961
20170708 03:45:00,288162,288229,287320,287989
20170708 03:50:00,288040,288046,287584,287943
20170708 03:55:00,287941,288900,287940,288517
20170708 04:00:00,288495,288780,288370,288710
20170708 04:05:00,288495,288780,288370,288710
20170708 04:10:00,288495,288780,288370,288710
20170708 04:15:00,288710,289000,288401,288751
20170708 04:20:00,288751,288960,288442,288545
20170708 04:25:00,288546,288880,288498,288449
20170708 04:30:00,288449,288855,288220,288413
20170708 04:35:00,288427,288550,288200,288202
20170708 04:40:00,288307,288679,288200,288620
20170708 04:45:00,288610,288754,288260,288261
20170708 04:50:00,288261,288429,287880,287948
20170708 04:55:00,287948,288136,287730,287919
